# Logfile created on 2017-06-27 09:19:48 +0000 by logger.rb/56438
[2017-06-27T09:19:48+00:00] INFO: Started chef-zero at chefzero://localhost:8889 with repository at /opt/gitlab/embedded
  One version per cookbook

[2017-06-27T09:19:48+00:00] INFO: Forking chef instance to converge...
[2017-06-27T09:19:48+00:00] INFO: *** Chef 12.12.15 ***
[2017-06-27T09:19:48+00:00] INFO: Platform: x86_64-linux
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/runit/files/default/gitlab-runsvdir.service in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-gitaly-log-run.erb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/runit/README.md in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/runit/recipes/systemd.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/runit/recipes/sysvinit.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-prometheus-log-run.erb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/runit/definitions/runit_service.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/runit/recipes/default.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/runit/attributes/default.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/templates/default/sv-redis-log-run.erb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/registry/templates/default/sv-registry-run.erb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/gitlab/metadata.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/registry/metadata.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/package/attributes/default.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/registry/recipes/disable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/registry/recipes/enable.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/registry/attributes/default.rb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/registry/templates/default/sv-registry-log-run.erb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/registry/templates/default/sv-registry-log-config.erb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/runit/files/default/gitlab-runsvdir.conf in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/registry/templates/default/registry-config.yml.erb in the cache.
[2017-06-27T09:19:50+00:00] INFO: Storing updated cookbooks/runit/metadata.rb in the cache.
[2017-06-27T09:19:51+00:00] WARN: Runtime directory '/run' is not a tmpfs.
[2017-06-27T09:19:51+00:00] INFO: directory[/etc/gitlab] mode changed to 775
[2017-06-27T09:19:51+00:00] WARN: Skipped selecting an init system because it looks like we are running in a container
[2017-06-27T09:19:51+00:00] INFO: directory[/opt/gitlab/embedded/etc] created directory /opt/gitlab/embedded/etc
[2017-06-27T09:19:51+00:00] INFO: directory[/opt/gitlab/embedded/etc] owner changed to 0
[2017-06-27T09:19:51+00:00] INFO: directory[/opt/gitlab/embedded/etc] group changed to 0
